close_rev_id,page_id,close_ts,outcome_type,closer
675515261,47491489,20150811020028,stale,Legobot
675558889,17306848,20150811100026,stale,Legobot
675787138,36181721,20150812180027,stale,Legobot
676071700,6237942,20150814140028,stale,Legobot
676160259,44477629,20150815030047,stale,Legobot
676215187,46696175,20150815140028,stale,Legobot
676276644,44284552,20150815230026,stale,Legobot
676282237,5928780,20150816000026,stale,Legobot
676282257,47257773,20150816000034,stale,Legobot
676307915,47530045,20150816040028,stale,Legobot
676350102,746418,20150816120023,stale,Legobot
676362392,24010966,20150816140029,stale,Legobot
676376109,530041,20150816160018,stale,Legobot
676383392,9372509,20150816170025,stale,Legobot
676563509,6481247,20150817200027,stale,Legobot
676635286,43194,20150818070016,stale,Legobot
